proband_id,Water_Intake (liters),Daily meals frequency,Calories
1,1.5,2.99,1806.0
2,1.9,3.01,1577.0
3,1.88,1.99,1608.0
4,2.5,3.0,2657.0
5,2.91,3.0,1470.0
6,2.91,2.99,2767.0
7,2.71,2.02,1867.0
8,2.88,2.99,2191.0
9,3.49,3.0,2587.0
10,2.49,3.01,1247.0
11,3.49,3.0,2476.0
12,3.51,3.01,2232.0
13,3.5,3.01,2569.0
14,2.71,3.98,1726.0
15,3.59,3.01,2046.0
16,2.3,2.0,2455.0
17,2.69,1.98,1740.0
18,2.09,2.99,2166.0
19,1.58,2.99,1802.0
20,2.51,1.99,1716.0
21,2.39,3.02,2038.0
22,3.51,3.0,2212.0
23,1.82,2.0,2182.0
24,3.48,2.99,2410.0
25,2.72,2.01,1510.0
26,3.39,3.0,2269.0
27,2.28,4.02,3016.0
28,2.41,3.02,2624.0
29,2.02,2.99,2601.0
30,2.72,2.99,1549.0
31,2.8,1.98,1981.0
32,3.1,3.0,1497.0
33,2.09,3.0,3255.0
34,2.7,3.01,1741.0
35,2.8,3.02,1950.0
36,3.5,3.01,2030.0
37,2.91,2.99,3313.0
38,2.7,3.0,1390.0
39,2.11,3.0,1489.0
40,3.5,2.02,2531.0
41,3.32,1.99,1325.0
42,2.0,2.99,2334.0
43,1.51,3.01,1353.0
44,3.42,3.0,2728.0
45,2.21,3.0,2657.0
46,3.47,3.01,2621.0
47,3.5,3.01,2174.0
48,2.6,3.0,1839.0
49,2.71,2.0,1549.0
50,2.49,3.01,1446.0
51,3.5,1.99,2285.0
52,2.7,3.03,1789.0
53,2.02,2.04,1648.0
54,2.29,1.99,2268.0
55,2.01,1.99,1771.0
56,2.21,3.0,1934.0
57,2.7,3.0,1656.0
58,2.42,3.0,1242.0
59,2.71,4.01,1872.0
60,3.5,4.01,2558.0
61,2.71,2.98,1918.0
62,2.22,3.01,2956.0
63,2.2,2.99,3424.0
64,2.51,3.0,1861.0
65,3.49,3.01,2366.0
66,1.79,2.98,1731.0
67,2.21,1.99,1615.0
68,2.0,3.0,1995.0
69,3.4,3.0,2502.0
70,3.5,3.0,2466.0
71,2.42,2.01,1433.0
72,1.5,4.01,1410.0
73,2.19,3.0,1758.0
74,2.18,3.01,1857.0
75,1.88,3.03,1142.0
76,3.51,3.0,2619.0
77,2.8,3.02,1891.0
78,3.0,2.99,3376.0
79,1.69,2.99,1760.0
