proband_id,Session_Duration (hours),Calories_Burned,Workout_Type
1,1.0,1080.9,Strength
2,1.37,1809.91,HIIT
3,0.91,802.26,Cardio
4,1.1,1450.79,HIIT
5,1.08,1166.4,Strength
6,0.69,453.33,Yoga
7,1.67,1953.9,Strength
8,1.01,727.81,Yoga
9,1.76,2062.37,Strength
10,1.17,1157.25,Strength
11,1.69,1974.26,Strength
12,1.91,2733.4,HIIT
13,1.89,2700.62,HIIT
14,1.64,2345.2,HIIT
15,0.75,743.85,Strength
16,1.2,1293.84,Strength
17,1.87,2189.58,Strength
18,1.36,1305.6,Cardio
19,0.81,803.36,Strength
20,1.17,1544.4,HIIT
21,1.04,1123.2,Strength
22,1.7,1326.0,Yoga
23,1.27,1214.12,Cardio
24,1.76,1831.81,Cardio
25,1.09,1177.2,Strength
26,1.48,1067.38,Yoga
27,1.33,1277.86,Cardio
28,0.9,792.0,Cardio
29,1.4,1848.0,HIIT
30,1.9,2226.42,Strength
31,1.15,827.31,Yoga
32,1.38,1324.8,Cardio
33,1.1,790.68,Yoga
34,1.78,2545.4,HIIT
35,1.49,1072.8,Yoga
36,1.63,1902.7,Strength
37,1.33,1607.84,HIIT
38,0.74,895.4,HIIT
39,1.37,1311.91,Cardio
40,1.8,2577.96,HIIT
41,0.86,566.57,Yoga
42,1.4,1849.54,HIIT
43,1.5,1818.3,HIIT
44,1.19,786.11,Yoga
45,1.4,1003.8,Yoga
46,1.74,2490.11,HIIT
47,1.8,2575.98,HIIT
48,1.15,1011.08,Cardio
49,1.55,1209.0,Yoga
50,1.26,1248.53,Strength
51,1.68,1308.38,Yoga
52,1.72,1787.42,Cardio
53,1.24,1499.04,HIIT
54,1.39,999.97,Yoga
55,1.2,1296.0,Strength
56,0.55,665.5,HIIT
57,1.96,2039.97,Cardio
58,1.01,1092.62,Strength
59,1.69,2420.42,HIIT
60,1.75,2052.22,Strength
61,1.66,1727.73,Cardio
62,1.48,1065.6,Yoga
63,1.0,960.8,Cardio
64,1.16,1147.36,Strength
65,1.77,1842.22,Cardio
66,1.33,1438.79,Strength
67,1.15,1012.92,Cardio
68,1.49,1073.69,Yoga
69,1.36,1467.58,Strength
70,1.96,2807.11,HIIT
71,0.97,961.17,Strength
72,1.06,1399.2,HIIT
73,0.66,580.8,Cardio
74,1.23,1180.8,Cardio
75,0.73,481.8,Yoga
76,1.74,1810.99,Cardio
77,1.49,1431.59,Cardio
78,1.26,1211.62,Cardio
79,0.63,415.42,Yoga
80,1.98,2060.78,Cardio
81,1.79,2097.52,Strength
82,1.48,1950.34,HIIT
83,1.13,814.28,Yoga
84,1.18,1038.4,Cardio
85,1.29,1239.43,Cardio
86,1.89,2206.2,Strength
87,1.93,1507.72,Yoga
88,1.2,792.72,Yoga
89,0.82,541.2,Yoga
90,1.09,784.8,Yoga
91,1.31,1732.08,HIIT
92,1.68,2400.55,HIIT
93,1.28,1382.4,Strength
94,1.44,1266.05,Cardio
95,0.8,792.72,Strength
96,1.48,1067.38,Yoga
97,1.25,1352.25,Strength
98,1.12,1355.2,HIIT
99,1.31,1298.08,Strength
100,1.49,1806.18,HIIT
101,1.23,810.32,Yoga
102,0.83,729.07,Cardio
103,1.48,1597.07,Strength
104,0.54,356.08,Yoga
105,1.18,1556.3,HIIT
106,1.3,1405.17,Strength
107,1.97,1538.96,Yoga
108,1.26,1665.97,HIIT
109,1.21,1160.63,Cardio
110,0.67,663.3,Strength
111,1.14,1095.31,Cardio
112,1.17,842.4,Yoga
113,1.46,1927.2,HIIT
114,1.09,1178.18,Strength
115,0.86,1040.6,HIIT
116,1.68,1964.09,Strength
117,1.81,2590.29,HIIT
118,1.19,1570.8,HIIT
119,1.77,1381.66,Yoga
120,0.8,968.0,HIIT
121,1.34,1765.85,HIIT
122,1.69,1977.3,Strength
123,1.66,1940.71,Strength
124,1.02,979.2,Cardio
125,1.36,1305.6,Cardio
126,0.57,689.7,HIIT
127,1.41,1859.65,HIIT
128,1.38,993.6,Yoga
129,1.45,1920.38,HIIT
130,1.67,2386.26,HIIT
131,1.46,962.72,Yoga
132,1.25,903.0,Yoga
133,1.57,2245.1,HIIT
134,1.15,827.31,Yoga
135,1.38,914.11,Yoga
136,1.67,2386.26,HIIT
137,1.35,1296.0,Cardio
138,0.96,634.18,Yoga
139,0.84,553.39,Yoga
140,0.53,640.13,HIIT
141,0.99,951.19,Cardio
142,1.12,1352.74,HIIT
143,1.48,975.91,Yoga
144,1.83,2144.39,Strength
145,1.89,2696.46,HIIT
146,1.12,986.5,Cardio
147,1.46,1925.59,HIIT
148,0.93,921.54,Strength
149,1.23,811.06,Yoga
150,1.36,896.78,Yoga
151,1.87,1457.48,Yoga
152,1.45,1044.0,Yoga
153,1.5,1983.3,HIIT
154,1.05,1007.16,Cardio
155,1.88,1467.53,Yoga
156,1.13,811.57,Yoga
157,1.8,2570.04,HIIT
158,0.75,741.15,Strength
159,1.32,870.41,Yoga
160,1.06,1144.8,Strength
161,1.19,1175.96,Strength
162,1.07,1413.58,HIIT
163,1.42,1532.32,Strength
164,1.22,1075.55,Cardio
165,0.89,587.4,Yoga
166,2.0,2851.2,HIIT
167,1.5,1317.6,Cardio
168,1.41,1016.89,Yoga
169,1.32,1268.26,Cardio
170,1.87,2669.99,HIIT
171,0.93,817.66,Cardio
172,1.22,879.13,Yoga
173,1.35,1456.78,Strength
174,1.88,1465.27,Yoga
175,1.71,1779.77,Cardio
176,1.83,1427.4,Yoga
177,1.15,1243.04,Strength
178,1.7,1985.94,Strength
179,1.36,1793.7,HIIT
180,1.21,1161.6,Cardio
181,1.4,1386.0,Strength
182,0.88,1065.77,HIIT
183,1.3,1716.0,HIIT
184,1.31,1298.08,Strength
185,1.52,1579.58,Cardio
186,1.45,1436.8,Strength
187,1.47,1292.42,Cardio
188,1.03,1018.77,Strength
189,1.45,1754.5,HIIT
190,0.57,689.07,HIIT
191,0.94,1137.4,HIIT
192,1.35,1777.54,HIIT
193,1.83,2144.39,Strength
194,1.02,733.79,Yoga
195,1.47,1293.6,Cardio
196,1.14,820.8,Yoga
197,1.15,826.62,Yoga
198,1.4,1234.24,Cardio
199,1.0,957.6,Cardio
200,1.46,961.85,Yoga
201,1.44,1425.6,Strength
202,1.2,864.0,Yoga
203,1.02,1348.64,HIIT
204,1.14,753.08,Yoga
205,1.94,2774.2,HIIT
206,1.78,2082.6,Strength
207,0.85,1026.63,HIIT
208,0.77,507.28,Yoga
209,0.87,573.68,Yoga
210,1.03,679.18,Yoga
211,0.91,799.34,Cardio
212,0.54,652.81,HIIT
213,1.16,1253.84,Strength
214,1.12,1073.41,Cardio
215,1.15,1516.74,HIIT
216,1.66,1293.8,Yoga
217,1.24,892.06,Yoga
218,0.95,837.52,Cardio
219,0.62,545.1,Cardio
220,1.95,2797.08,HIIT
221,1.54,1200.28,Yoga
222,0.59,518.26,Cardio
223,1.87,1943.3,Cardio
224,1.45,1914.0,HIIT
225,1.81,1880.95,Cardio
226,1.67,1301.6,Yoga
227,1.0,960.0,Cardio
228,1.48,1598.4,Strength
229,1.13,1490.36,HIIT
230,1.7,1766.64,Cardio
231,0.58,573.16,Strength
232,0.73,481.8,Yoga
233,1.0,961.6,Cardio
234,1.25,903.0,Yoga
235,1.44,1557.79,Strength
236,1.39,1499.95,Strength
237,1.4,1386.0,Strength
238,1.03,741.6,Yoga
239,1.12,1206.58,Strength
240,1.36,898.42,Yoga
241,1.05,1134.0,Strength
242,0.58,574.2,Strength
243,1.92,1499.9,Yoga
244,0.78,685.78,Cardio
245,0.74,734.6,Strength
246,0.68,672.59,Strength
247,1.89,2214.7,Strength
248,1.07,1152.71,Strength
249,1.07,1412.4,HIIT
250,1.39,998.3,Yoga
251,0.76,666.98,Cardio
252,0.87,1050.79,HIIT
253,1.41,1524.07,Strength
254,1.35,972.0,Yoga
255,1.98,1543.21,Yoga
256,1.39,999.13,Yoga
257,1.73,2024.1,Strength
258,1.2,1190.16,Strength
259,1.08,1306.8,HIIT
260,1.81,2119.33,Strength
261,1.81,1409.63,Yoga
262,1.08,714.1,Yoga
263,1.38,1364.96,Strength
264,1.75,1363.95,Yoga
265,1.83,1903.2,Cardio
266,1.32,870.41,Yoga
267,1.48,1419.62,Cardio
268,1.02,1231.96,HIIT
269,1.81,1882.4,Cardio
270,0.78,686.4,Cardio
271,1.88,1955.2,Cardio
272,1.19,1572.11,HIIT
273,1.19,1441.21,HIIT
274,0.76,667.58,Cardio
275,0.91,801.53,Cardio
276,0.8,528.48,Yoga
277,1.39,999.97,Yoga
278,1.45,1914.0,HIIT
279,1.47,1056.64,Yoga
280,1.09,786.11,Yoga
281,1.62,1899.77,Strength
282,0.72,475.2,Yoga
283,0.89,781.06,Cardio
284,1.1,1188.99,Strength
285,1.09,786.11,Yoga
