proband_id,Calories,Daily meals frequency,Water_Intake (liters)
1,1806.0,2.99,1.5
2,1577.0,3.01,1.9
3,1608.0,1.99,1.88
4,2657.0,3.0,2.5
5,1470.0,3.0,2.91
6,2767.0,2.99,2.91
7,1867.0,2.02,2.71
8,2191.0,2.99,2.88
9,2587.0,3.0,3.49
10,1247.0,3.01,2.49
11,2476.0,3.0,3.49
12,2232.0,3.01,3.51
13,2569.0,3.01,3.5
14,1726.0,3.98,2.71
15,2046.0,3.01,3.59
16,2455.0,2.0,2.3
17,1740.0,1.98,2.69
18,2166.0,2.99,2.09
19,1802.0,2.99,1.58
20,1716.0,1.99,2.51
21,2038.0,3.02,2.39
22,2212.0,3.0,3.51
23,2182.0,2.0,1.82
24,2410.0,2.99,3.48
25,1510.0,2.01,2.72
26,2269.0,3.0,3.39
27,3016.0,4.02,2.28
28,2624.0,3.02,2.41
29,2601.0,2.99,2.02
30,1549.0,2.99,2.72
31,1981.0,1.98,2.8
32,1497.0,3.0,3.1
33,3255.0,3.0,2.09
34,1741.0,3.01,2.7
35,1950.0,3.02,2.8
36,2030.0,3.01,3.5
37,3313.0,2.99,2.91
38,1390.0,3.0,2.7
39,1489.0,3.0,2.11
40,2531.0,2.02,3.5
41,1325.0,1.99,3.32
42,2334.0,2.99,2.0
43,1353.0,3.01,1.51
44,2728.0,3.0,3.42
45,2657.0,3.0,2.21
46,2621.0,3.01,3.47
47,2174.0,3.01,3.5
48,1839.0,3.0,2.6
49,1549.0,2.0,2.71
50,1446.0,3.01,2.49
51,2285.0,1.99,3.5
52,1789.0,3.03,2.7
53,1648.0,2.04,2.02
54,2268.0,1.99,2.29
55,1771.0,1.99,2.01
56,1934.0,3.0,2.21
57,1656.0,3.0,2.7
58,1242.0,3.0,2.42
59,1872.0,4.01,2.71
60,2558.0,4.01,3.5
61,1918.0,2.98,2.71
62,2956.0,3.01,2.22
63,3424.0,2.99,2.2
64,1861.0,3.0,2.51
65,2366.0,3.01,3.49
66,1731.0,2.98,1.79
67,1615.0,1.99,2.21
68,1995.0,3.0,2.0
69,2502.0,3.0,3.4
70,2466.0,3.0,3.5
71,1433.0,2.01,2.42
72,1410.0,4.01,1.5
73,1758.0,3.0,2.19
74,1857.0,3.01,2.18
75,1142.0,3.03,1.88
76,2619.0,3.0,3.51
77,1891.0,3.02,2.8
78,3376.0,2.99,3.0
79,1760.0,2.99,1.69
80,2327.0,3.99,3.5
81,1844.0,2.99,2.69
82,2204.0,1.98,1.51
83,1686.0,2.02,1.8
84,1625.0,2.99,3.2
85,2877.0,4.01,3.48
86,2381.0,4.01,3.5
87,1952.0,4.01,2.7
88,1264.0,2.0,1.6
89,2062.0,3.0,1.62
90,1524.0,2.98,2.0
91,1946.0,2.99,2.61
92,1806.0,3.01,2.69
93,1252.0,3.0,1.8
94,1430.0,3.0,2.29
95,1692.0,3.02,2.19
96,2768.0,2.99,2.2
97,1372.0,3.0,2.48
98,1688.0,3.0,1.79
99,1576.0,3.01,2.42
100,1231.0,2.0,2.69
101,1920.0,2.01,2.71
102,1951.0,1.99,2.01
103,1807.0,3.02,2.31
104,2633.0,1.98,3.08
105,1346.0,3.02,2.5
106,1620.0,2.99,1.62
107,1664.0,2.99,2.68
108,1689.0,3.01,2.62
109,2403.0,3.0,3.49
110,2041.0,1.99,2.31
111,2220.0,4.01,2.61
112,3011.0,2.0,3.57
113,3265.0,2.99,2.19
114,3287.0,2.98,2.11
115,1909.0,3.99,1.51
