proband_id,Workout_Type,Calories_Burned,Session_Duration (hours)
1,Strength,1080.9,1.0
2,HIIT,1809.91,1.37
3,Cardio,802.26,0.91
4,HIIT,1450.79,1.1
5,Strength,1166.4,1.08
6,Yoga,453.33,0.69
7,Strength,1953.9,1.67
8,Yoga,727.81,1.01
9,Strength,2062.37,1.76
10,Strength,1157.25,1.17
11,Strength,1974.26,1.69
12,HIIT,2733.4,1.91
13,HIIT,2700.62,1.89
14,HIIT,2345.2,1.64
15,Strength,743.85,0.75
16,Strength,1293.84,1.2
17,Strength,2189.58,1.87
18,Cardio,1305.6,1.36
19,Strength,803.36,0.81
20,HIIT,1544.4,1.17
21,Strength,1123.2,1.04
22,Yoga,1326.0,1.7
23,Cardio,1214.12,1.27
24,Cardio,1831.81,1.76
25,Strength,1177.2,1.09
26,Yoga,1067.38,1.48
27,Cardio,1277.86,1.33
28,Cardio,792.0,0.9
29,HIIT,1848.0,1.4
30,Strength,2226.42,1.9
31,Yoga,827.31,1.15
32,Cardio,1324.8,1.38
33,Yoga,790.68,1.1
34,HIIT,2545.4,1.78
35,Yoga,1072.8,1.49
36,Strength,1902.7,1.63
37,HIIT,1607.84,1.33
38,HIIT,895.4,0.74
39,Cardio,1311.91,1.37
40,HIIT,2577.96,1.8
41,Yoga,566.57,0.86
42,HIIT,1849.54,1.4
43,HIIT,1818.3,1.5
44,Yoga,786.11,1.19
45,Yoga,1003.8,1.4
46,HIIT,2490.11,1.74
47,HIIT,2575.98,1.8
48,Cardio,1011.08,1.15
49,Yoga,1209.0,1.55
50,Strength,1248.53,1.26
51,Yoga,1308.38,1.68
52,Cardio,1787.42,1.72
53,HIIT,1499.04,1.24
54,Yoga,999.97,1.39
55,Strength,1296.0,1.2
56,HIIT,665.5,0.55
57,Cardio,2039.97,1.96
58,Strength,1092.62,1.01
59,HIIT,2420.42,1.69
60,Strength,2052.22,1.75
61,Cardio,1727.73,1.66
62,Yoga,1065.6,1.48
63,Cardio,960.8,1.0
64,Strength,1147.36,1.16
65,Cardio,1842.22,1.77
66,Strength,1438.79,1.33
67,Cardio,1012.92,1.15
68,Yoga,1073.69,1.49
69,Strength,1467.58,1.36
70,HIIT,2807.11,1.96
71,Strength,961.17,0.97
72,HIIT,1399.2,1.06
73,Cardio,580.8,0.66
74,Cardio,1180.8,1.23
75,Yoga,481.8,0.73
76,Cardio,1810.99,1.74
77,Cardio,1431.59,1.49
78,Cardio,1211.62,1.26
79,Yoga,415.42,0.63
80,Cardio,2060.78,1.98
81,Strength,2097.52,1.79
82,HIIT,1950.34,1.48
83,Yoga,814.28,1.13
84,Cardio,1038.4,1.18
85,Cardio,1239.43,1.29
86,Strength,2206.2,1.89
87,Yoga,1507.72,1.93
88,Yoga,792.72,1.2
89,Yoga,541.2,0.82
90,Yoga,784.8,1.09
91,HIIT,1732.08,1.31
92,HIIT,2400.55,1.68
93,Strength,1382.4,1.28
94,Cardio,1266.05,1.44
95,Strength,792.72,0.8
96,Yoga,1067.38,1.48
97,Strength,1352.25,1.25
98,HIIT,1355.2,1.12
99,Strength,1298.08,1.31
100,HIIT,1806.18,1.49
101,Yoga,810.32,1.23
102,Cardio,729.07,0.83
103,Strength,1597.07,1.48
104,Yoga,356.08,0.54
105,HIIT,1556.3,1.18
106,Strength,1405.17,1.3
107,Yoga,1538.96,1.97
108,HIIT,1665.97,1.26
109,Cardio,1160.63,1.21
110,Strength,663.3,0.67
111,Cardio,1095.31,1.14
112,Yoga,842.4,1.17
113,HIIT,1927.2,1.46
114,Strength,1178.18,1.09
115,HIIT,1040.6,0.86
116,Strength,1964.09,1.68
117,HIIT,2590.29,1.81
118,HIIT,1570.8,1.19
119,Yoga,1381.66,1.77
120,HIIT,968.0,0.8
121,HIIT,1765.85,1.34
122,Strength,1977.3,1.69
123,Strength,1940.71,1.66
124,Cardio,979.2,1.02
125,Cardio,1305.6,1.36
126,HIIT,689.7,0.57
127,HIIT,1859.65,1.41
128,Yoga,993.6,1.38
129,HIIT,1920.38,1.45
130,HIIT,2386.26,1.67
131,Yoga,962.72,1.46
132,Yoga,903.0,1.25
133,HIIT,2245.1,1.57
134,Yoga,827.31,1.15
135,Yoga,914.11,1.38
136,HIIT,2386.26,1.67
137,Cardio,1296.0,1.35
138,Yoga,634.18,0.96
139,Yoga,553.39,0.84
140,HIIT,640.13,0.53
141,Cardio,951.19,0.99
142,HIIT,1352.74,1.12
143,Yoga,975.91,1.48
144,Strength,2144.39,1.83
145,HIIT,2696.46,1.89
146,Cardio,986.5,1.12
147,HIIT,1925.59,1.46
148,Strength,921.54,0.93
149,Yoga,811.06,1.23
150,Yoga,896.78,1.36
151,Yoga,1457.48,1.87
152,Yoga,1044.0,1.45
153,HIIT,1983.3,1.5
154,Cardio,1007.16,1.05
155,Yoga,1467.53,1.88
156,Yoga,811.57,1.13
157,HIIT,2570.04,1.8
158,Strength,741.15,0.75
159,Yoga,870.41,1.32
160,Strength,1144.8,1.06
161,Strength,1175.96,1.19
162,HIIT,1413.58,1.07
163,Strength,1532.32,1.42
164,Cardio,1075.55,1.22
165,Yoga,587.4,0.89
166,HIIT,2851.2,2.0
167,Cardio,1317.6,1.5
168,Yoga,1016.89,1.41
169,Cardio,1268.26,1.32
170,HIIT,2669.99,1.87
171,Cardio,817.66,0.93
172,Yoga,879.13,1.22
173,Strength,1456.78,1.35
174,Yoga,1465.27,1.88
175,Cardio,1779.77,1.71
176,Yoga,1427.4,1.83
177,Strength,1243.04,1.15
178,Strength,1985.94,1.7
179,HIIT,1793.7,1.36
180,Cardio,1161.6,1.21
181,Strength,1386.0,1.4
182,HIIT,1065.77,0.88
183,HIIT,1716.0,1.3
184,Strength,1298.08,1.31
185,Cardio,1579.58,1.52
186,Strength,1436.8,1.45
187,Cardio,1292.42,1.47
188,Strength,1018.77,1.03
189,HIIT,1754.5,1.45
190,HIIT,689.07,0.57
191,HIIT,1137.4,0.94
192,HIIT,1777.54,1.35
193,Strength,2144.39,1.83
194,Yoga,733.79,1.02
